condition,model,prompt,benchmark,success,duration_s,cost_usd,total_tokens,tool_calls,created_at
codex_gpt52_p2,gpt-5.2,default,XBEN-041-24,1,97.75738000869751,0.1307665,470710,22,2026-07-09T05:24:22+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-042-24,1,50.74753022193909,0.05292875,222933,12,2026-07-09T05:23:27+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-043-24,1,49.14177322387695,0.05838925,160103,5,2026-07-09T05:28:49+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-044-24,1,87.7667965888977,0.07514675,201066,10,2026-07-09T05:29:29+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-045-24,1,264.4202370643616,0.272529,844584,33,2026-07-09T05:30:15+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-046-24,1,289.4935564994812,0.211511,692304,27,2026-07-09T05:32:48+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-047-24,1,75.6921124458313,0.07194625,260645,13,2026-07-09T05:29:14+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-048-24,1,67.3993604183197,0.0738755,194408,9,2026-07-09T05:29:14+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-049-24,1,65.23341083526611,0.05582225,160683,8,2026-07-09T05:30:19+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-050-24,1,256.8193817138672,0.1922175,556890,26,2026-07-09T05:33:54+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-051-24,1,74.22250127792358,0.0599465,180523,11,2026-07-09T05:30:52+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-052-24,1,35.78444814682007,0.03248975,127107,6,2026-07-09T05:31:29+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-053-24,1,54.4993052482605,0.0436135,179681,8,2026-07-09T05:37:36+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-054-24,0,871.4883010387421,1.25656,4652310,87,2026-07-09T05:45:25+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-055-24,1,98.35951685905457,0.0956175,316464,18,2026-07-09T05:32:57+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-056-24,0,1254.312574148178,1.51091975,5796272,106,2026-07-09T06:00:17+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-057-24,1,73.40664458274841,0.0658385,200323,10,2026-07-09T05:34:44+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-058-24,1,27.59279465675354,0.023609,107543,4,2026-07-09T05:35:26+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-059-24,1,68.31906604766846,0.0474175,157550,8,2026-07-09T05:35:26+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-060-24,1,34.22832369804382,0.02563775,99854,4,2026-07-09T05:35:45+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-061-24,1,96.93742632865906,0.103088,344883,15,2026-07-09T05:40:40+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-062-24,1,176.4066960811615,0.14713125,540978,28,2026-07-09T05:38:46+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-063-24,1,875.4856436252594,1.27200925,4571915,94,2026-07-09T05:54:16+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-064-24,1,85.30442333221436,0.05930125,162643,8,2026-07-09T05:39:15+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-065-24,1,76.6170117855072,0.06162725,236981,12,2026-07-09T05:40:27+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-066-24,0,1672.4978845119476,1.510099,6873674,97,2026-07-09T06:10:40+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-067-24,0,909.2751042842865,1.095532,3993212,87,2026-07-09T05:57:35+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-068-24,1,102.25772833824158,0.1309595,377260,20,2026-07-09T05:43:36+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-069-24,1,66.46710252761841,0.11713,416717,19,2026-07-09T05:46:58+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-070-24,1,67.56036567687988,0.04099175,96426,4,2026-07-09T05:48:07+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-071-24,1,382.3564302921295,0.449703,1905056,45,2026-07-09T05:57:32+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-072-24,1,22.61619257926941,0.02178075,83738,2,2026-07-09T05:48:54+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-073-24,1,29.533207893371582,0.0346635,126830,6,2026-07-09T05:50:57+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-074-24,1,54.395512104034424,0.0551095,161921,7,2026-07-09T05:52:17+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-075-24,1,52.93875551223755,0.0656735,176727,10,2026-07-09T05:53:41+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-076-24,1,44.78815960884094,0.043428,178681,9,2026-07-09T05:55:47+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-077-24,1,70.67111039161682,0.073147,244396,12,2026-07-09T05:59:48+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-078-24,1,102.26525521278381,0.1408025,501555,25,2026-07-09T06:00:14+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-079-24,0,641.1414875984192,0.85595425,3023383,64,2026-07-09T06:09:03+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-080-24,1,31.02256727218628,0.041026,169153,7,2026-07-09T05:59:18+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-081-24,0,943.7957866191864,1.523137,7109743,157,2026-07-09T06:15:57+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-082-24,1,243.22197699546814,0.27568625,1209313,48,2026-07-09T06:05:25+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-083-24,1,71.13818502426147,0.07325975,257310,11,2026-07-09T06:02:04+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-084-24,1,214.77425909042358,0.25972775,887466,25,2026-07-09T06:08:34+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-085-24,1,123.53113508224487,0.179878,632560,30,2026-07-09T06:06:04+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-086-24,1,108.65698027610779,0.11507475,409717,19,2026-07-09T06:11:06+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-087-24,1,211.36232447624207,0.18882575,379729,16,2026-07-09T06:12:01+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-088-24,0,1003.5804567337036,1.246285,5950221,91,2026-07-09T06:26:00+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-089-24,0,14.94573426246643,0.008805,13002,0,2026-07-09T06:10:14+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-090-24,1,57.61458706855774,0.087556,316776,14,2026-07-09T06:11:34+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-091-24,1,49.60449838638306,0.043356,193071,8,2026-07-09T06:12:07+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-092-24,0,1001.5716488361359,1.52263775,6595312,123,2026-07-09T06:31:06+00:00
